Timestamp(us), ax, ay, az, gx, gy, gz
33821411,-883,2420,341,1083,741,553
33841400,-800,2351,265,1370,908,1226
33861389,-824,2015,268,1321,823,1683
33881378,-292,1280,362,1306,495,1268
33901367,-368,1510,258,-243,-735,-811
33921356,-617,2037,-138,-1207,-1910,-1809
33941345,-184,1677,-66,-829,-1795,-1710
33961334,-1,1381,349,-545,-1536,-1430
33981323,-380,1353,762,-155,-1275,-543
34001312,-180,1416,925,788,-920,967
34021301,-101,1439,727,608,-454,1219
34041290,-420,2034,889,492,435,600
34061279,48,2209,731,1303,835,1150
34081268,171,2336,663,2160,951,1470
34101257,-41,2393,823,2656,1417,1603
34121246,-140,2290,1065,3077,1657,1616
34141235,31,2130,768,4339,2089,3012
34161224,241,1816,497,3370,1399,2557
34181213,648,1925,-27,1164,1399,3615
34201202,1832,1743,-112,605,515,2608
34221191,763,1583,-40,1644,82,-167
34241180,639,1319,334,1607,66,-95
34261169,479,1318,365,931,-116,-198
34281158,200,1528,172,-61,-336,-772
34301147,294,1536,39,-1478,-1142,330
34321136,1018,1377,-177,-2616,-2030,1465
34341125,2153,1155,-659,-2726,-1910,-713
34361114,150,1675,200,-3648,-882,-1361
34381103,435,1070,659,-3888,-1679,395
34401092,153,1230,720,-5953,-2733,-79
34421081,-171,1680,658,-8101,-2935,-969
34441070,-219,2525,276,-8419,-3048,-1857
34461059,-191,2844,365,-7710,-2913,-2357
34481048,-746,2832,722,-7342,-3537,-3555
34501037,-1227,2249,1767,-7242,-3872,-5141
34521026,-1119,1522,2561,-6418,-2722,-5533
34541015,-471,1296,2090,-5002,-1242,-5039
34561004,122,894,1808,-4004,-702,-4612
34580993,86,605,2144,-2860,-389,-3687
34600982,-80,221,2639,-2039,-238,-2858
34620971,35,165,2636,-1784,-416,-2823
34640960,132,447,2410,-1352,-173,-2784
34660949,371,553,2303,-915,276,-2171
34680938,430,541,1925,-1090,442,-1651
34700927,559,107,1710,-713,303,-1522
34720916,-204,292,2454,-619,-276,-1942
34740905,-118,274,2342,-1039,499,-1917
34760894,280,653,1739,-957,201,-1708
34780883,248,500,1577,-783,-293,-1415
34800872,-17,87,2125,-512,-1938,-1457
34820861,-307,173,2304,-523,-2553,-1432
34840850,-85,186,2145,-303,-1233,-1410
34860839,170,240,1908,169,-537,-1379
34880828,260,94,2006,772,334,-1241
34900817,39,-147,2463,142,69,-1027
34920806,122,-298,2007,-995,-1118,-1229
34940795,218,335,1854,-1263,-113,-985
34960784,453,287,1913,-986,-22,220
34980773,85,323,2146,-449,1007,871
35000762,149,276,2041,407,1104,1321
35020751,-56,17,1834,1153,1823,893
35040740,-140,214,2303,-115,1468,94
35060729,8,47,1833,-1185,-247,-350
35080718,3,97,2414,-829,-401,-325
35100708,-304,178,2017,417,-1,767
35120697,-258,-48,1995,-132,19,700
35140686,-73,35,2061,-122,-72,77
35160675,-41,34,2034,-69,-93,-51
35180664,-42,29,2032,-36,-55,3
35200653,-39,41,2033,-8,-2,0
35220642,-51,42,2037,16,42,-4
35240631,-75,56,2035,23,54,-3
35260620,-84,64,2040,-8,-4,-3
35280609,-53,47,2035,-38,-56,-2
35300598,-45,38,2031,-24,-35,-2
35320587,-49,47,2032,-1,7,-2
35340576,-66,57,2039,9,28,-3
35360565,-71,59,2039,-4,2,-3
35380554,-57,47,2034,-25,-33,-2
35400543,-53,42,2036,-20,-23,-3
35420532,-58,45,2038,-4,6,-3
35440521,-65,53,2037,-4,8,-3
35460510,-63,46,2039,-14,-13,-3
35480499,-53,45,2035,-17,-20,-2
35500488,-56,47,2031,-9,-5,-3
35520477,-63,50,2035,-6,2,-2
35540466,-62,51,2037,-12,-8,-3
35560455,-57,46,2035,-16,-13,-3
35580444,-59,44,2032,-11,-8,-3
35600433,-58,48,2038,-9,-3,-2
35620422,-59,53,2038,-10,-6,-3
35640411,-56,50,2034,-13,-10,-2
35660400,-57,44,2035,-11,-8,-3
35680389,-55,49,2034,-10,-5,-3
35700378,-62,47,2034,-10,-8,-3
35720367,-59,48,2036,-11,-11,-1
35740356,-58,49,2036,-10,-6,-2
35760345,-58,45,2033,-9,-6,-2
35780334,-59,49,2038,-11,-8,-2
35800323,-58,48,2040,-10,-8,-3
35820312,-59,51,2034,-10,-7,-3
35840301,-59,49,2038,-10,-8,-2
35860290,-60,48,2037,-10,-7,-2
35880279,-57,49,2036,-11,-8,-4
35900268,-59,48,2039,-10,-8,-3
35920257,-59,47,2038,-10,-7,-3
35940246,-58,48,2041,-11,-8,-3
35960235,-55,51,2035,-10,-7,-2
35980224,-60,48,2036,-11,-6,-3
36000213,-58,51,2035,-11,-9,-3
36020202,-58,49,2037,-10,-7,-3
36040191,-59,49,2038,-9,-6,-2
36060180,-59,49,2032,-10,-7,-3
36080169,-56,49,2034,-11,-8,-3
36100158,-58,49,2040,-10,-6,-2
36120147,-58,49,2039,-11,-8,-2
36140136,-58,48,2036,-11,-8,-2
36160125,-59,50,2033,-10,-7,-3
36180114,-57,57,2037,-10,-7,-3
36200103,-60,46,2036,-9,-6,-2
36220092,-60,49,2036,-8,-6,-3
36240081,-57,47,2039,-13,-10,-3
36260070,-59,45,2042,-12,-8,-3
36280059,-60,46,2033,-9,-5,-2
36300048,-56,48,2035,-10,-7,-3
36320037,-57,46,2033,-11,-8,-2
36340026,-58,48,2034,-9,-6,-3
36360015,-57,54,2030,-11,-9,-3
36380004,-59,49,2031,-11,-10,-3
36399993,-61,47,2033,-9,-7,-2
36419982,-59,53,2035,-10,-7,-2
36439971,-59,47,2037,-10,-10,-2
36459960,-58,45,2040,-11,-9,-2
36479949,-58,49,2039,-11,-6,-2
36499938,-58,53,2036,-11,-6,-2
36519927,-60,49,2032,-9,-6,-3
36539916,-60,49,2040,-10,-7,-2
36559906,-57,49,2038,-12,-8,-2
36579895,-59,50,2035,-12,-9,-3
36599884,-58,48,2033,-12,-8,-3
36619873,-62,49,2034,-10,-7,-3
36639862,-59,48,2038,-11,-8,-2
36659851,-58,48,2035,-12,-9,-3
36679840,-57,49,2034,-9,-7,-3
36699829,-56,51,2030,-10,-7,-3
36719818,-59,47,2039,-11,-9,-2
36739807,-60,49,2036,-11,-7,-2
36759796,-61,46,2034,-11,-7,-2
36779785,-60,47,2035,-11,-8,-4
36799774,-59,49,2036,-11,-8,-3
36819763,-60,47,2037,-9,-7,-2
36839752,-62,52,2036,-10,-8,-2
36859741,-62,48,2039,-10,-8,-2
36879730,-59,53,2041,-11,-7,-2
36899719,-60,46,2039,-11,-7,-4
36919708,-57,48,2035,-11,-8,-3
36939697,-56,47,2039,-10,-8,-2
36959686,-59,49,2039,-11,-7,-2
36979675,-59,47,2034,-10,-8,-2
36999664,-59,45,2037,-10,-8,-2
37019653,-57,49,2039,-11,-7,-2
