Timestamp(us), ax, ay, az, gx, gy, gz
1436430511,-127,346,1901,-273,1334,-1217
1436450500,-190,244,2150,-250,1825,-1368
1436470489,-321,221,2129,-86,2156,-1528
1436490478,-522,121,1982,51,2395,-1621
1436510467,-532,145,1903,188,2815,-1623
1436530456,-500,48,1911,360,3116,-1591
1436550445,-782,-53,1863,539,2893,-1509
1436570434,-1134,-176,1763,607,2407,-1212
1436590423,-1185,-146,1659,702,1618,-962
1436610412,-1122,-58,1535,728,962,-644
1436630401,-1085,-33,1544,609,527,-466
1436650390,-986,-24,1689,461,287,-377
1436670379,-1072,-3,1559,309,-22,-215
1436690368,-1260,90,1316,25,234,-16
1436710357,-1260,90,1316,-240,560,195
1436730346,-1420,102,1293,-240,560,195
1436750335,-1209,162,1427,-388,498,184
1436770324,-1018,281,1626,-370,107,108
1436790313,-1139,344,1761,-296,-230,55
1436810302,-1188,326,1671,-195,-313,-80
1436830291,-1183,282,1484,-61,-304,-270
1436850280,-1284,273,1394,45,-317,-440
1436870269,-1381,335,1422,71,-262,-583
1436890258,-1454,351,1570,53,-299,-670
1436910247,-1464,409,1698,37,-587,-677
1436930236,-1536,508,1511,-5,-757,-596
1436950225,-1565,555,1342,-131,-546,-569
1436970214,-1531,589,1331,-299,-348,-562
1436990203,-1433,656,1388,-459,-374,-484
1437010192,-1341,711,1353,-631,-258,-387
1437030181,-1342,706,1408,-832,-19,-311
1437050170,-1393,642,1583,-973,16,-201
1437070159,-1381,614,1649,-1040,-90,-80
1437090148,-1306,608,1620,-1107,65,-15
1437110137,-1334,567,1516,-1211,442,58
1437130126,-1336,506,1358,-1385,1117,150
1437150115,-1275,387,1556,-1662,2145,219
1437170104,-1267,250,2037,-1869,3058,247
1437190093,-1591,291,1981,-1919,3450,176
1437210083,-912,268,2301,-1528,3075,-141
1437230072,-676,226,3023,-557,1012,17
1437250061,-1054,132,2791,-58,-251,115
1437270050,-1388,-40,2117,55,-594,-33
1437290039,-1623,-135,1595,83,390,-136
1437310028,-1597,-160,1292,-124,1679,-36
1437330017,-1611,-194,990,-427,1516,49
1437350006,-1582,-233,1011,-577,704,111
1437369995,-1524,-215,1004,-655,48,235
1437389984,-1597,-200,991,-681,-322,247
1437409973,-1647,-192,1150,-678,63,72
1437429962,-1666,-241,1220,-671,883,-125
1437449951,-1709,-318,1082,-625,1441,-286
1437469940,-1677,-370,950,-518,1646,-362
1437489929,-1596,-392,847,-377,1503,-362
1437509918,-1695,-394,713,-299,1422,-332
1437529907,-1752,-450,626,-268,1628,-372
1437549896,-1760,-505,595,-229,1845,-477
1437569885,-1799,-583,507,-164,1860,-541
1437589874,-1913,-667,469,-101,1753,-488
1437609863,-2058,-667,519,3,1455,-342
1437629852,-2099,-570,437,120,1084,-204
1437649841,-1986,-414,315,188,740,-195
1437669830,-1890,-331,432,201,647,-213
1437689819,-2068,-331,597,230,496,-162
1437709808,-2114,-305,674,265,459,-135
1437729797,-1977,-293,600,263,555,-178
1437749786,-1927,-310,583,252,420,-169
1437769775,-2029,-365,612,233,233,-153
1437789764,-2040,-416,583,175,215,-162
1437809753,-1912,-508,534,102,142,-176
1437829742,-1983,-532,428,-13,-10,-165
1437849731,-1916,-509,408,-127,6,-205
1437869720,-1863,-512,433,-216,-33,-242
1437889709,-1902,-508,572,-225,-22,-251
1437909698,-1983,-535,600,-192,38,-234
1437929687,-1938,-552,386,-193,90,-232
1437949676,-1786,-487,286,-199,23,-266
1437969665,-1838,-467,391,-165,-52,-258
1437989654,-2013,-542,432,-118,4,-225
1438009643,-1972,-629,326,-102,127,-205
1438029632,-1933,-679,221,-109,4,-162
1438049621,-1953,-776,407,-91,-58,-146
1438069610,-2019,-867,525,-63,93,-116
1438089599,-2059,-900,496,-39,187,-70
1438109588,-2125,-921,464,-38,158,-22
1438129577,-2098,-925,475,-41,60,4
1438149566,-2067,-929,513,-43,34,14
1438169555,-2079,-908,485,-59,174,52
1438189544,-2108,-880,380,-74,165,123
1438209533,-2127,-887,269,-98,21,185
1438229522,-2120,-903,260,-141,-67,220
1438249511,-2061,-860,300,-167,-183,241
1438269500,-1945,-811,382,-159,-282,268
1438289489,-1838,-767,449,-123,-304,301
1438309478,-1808,-706,445,-78,-239,317
1438329467,-1837,-648,368,-35,-157,321
1438349456,-1898,-602,257,-7,-128,324
1438369445,-1905,-524,238,7,-139,305
1438389434,-1856,-419,246,31,-177,267
1438409423,-1808,-348,281,43,-148,235
1438429412,-1786,-324,308,51,-54,195
1438449401,-1791,-289,296,56,5,168
1438469390,-1815,-234,291,58,-7,155
1438489379,-1830,-144,246,59,-44,161
1438509368,-1807,-73,273,38,-57,151
1438529357,-1722,-50,400,45,-39,107
1438549346,-1754,-123,530,87,9,66
1438569335,-1847,-238,638,171,55,46
1438589324,-1900,-335,579,261,64,27
1438609313,-1913,-399,469,305,79,-9
1438629302,-1934,-468,430,317,72,-33
1438649291,-1914,-516,449,309,36,-63
1438669281,-2001,-547,473,276,8,-65
1438689270,-2047,-523,420,201,-31,-55
1438709259,-1945,-438,371,96,-72,-111
1438729248,-1805,-373,390,-12,-33,-220
1438749237,-1923,-376,522,-87,138,-259
1438769226,-2150,-421,526,-103,136,-191
1438789215,-2094,-457,401,-116,19,-155
1438809204,-1875,-414,185,-166,-59,-174
1438829193,-1640,-323,123,-244,51,-295
1438849182,-1726,-331,394,-263,320,-352
1438869171,-2032,-489,517,-149,235,-279
1438889160,-2068,-519,294,-50,83,-224
1438909149,-1914,-416,93,-51,80,-244
1438929138,-1768,-404,258,-58,211,-310
1438949127,-1822,-531,557,25,174,-306
1438969116,-2112,-662,556,129,72,-198
1438989105,-2227,-675,279,114,86,-110
1439009094,-2095,-689,224,25,63,-109
1439029083,-2048,-802,513,-18,15,-77
1439049072,-2125,-935,586,-36,27,15
1439069061,-2075,-1011,446,-91,12,73
1439089050,-2085,-1055,409,-152,-69,107
1439109039,-2131,-1078,463,-184,-132,143
1439129028,-2148,-1070,450,-213,-149,169
1439149017,-2119,-1029,440,-235,-126,183
1439169006,-2036,-957,423,-223,-164,199
1439188995,-1977,-873,406,-195,-217,220
1439208984,-1977,-873,406,-195,-217,220
1439228973,-1956,-798,381,-182,-190,244
1439248962,-1952,-708,346,-180,-139,254
1439268951,-1966,-612,335,-145,-79,227
1439288940,-1995,-537,338,-80,40,179
1439308929,-1980,-450,322,-8,102,142
1439328918,-1935,-344,301,47,58,142
1439348907,-1855,-263,304,86,26,101
1439368896,-1808,-189,246,105,120,23
1439388885,-1808,-177,274,119,153,-18
1439408874,-1805,-180,261,126,156,-37
1439428863,-1774,-150,262,112,100,-56
1439448852,-1756,-111,259,84,96,-84
1439468841,-1775,-97,287,55,160,-112
1439488830,-1781,-73,327,46,178,-109
1439508819,-1751,-97,357,63,78,-88
1439528808,-1737,-154,367,62,36,-89
1439548797,-1788,-210,387,59,86,-101
1439568786,-1883,-264,397,79,113,-106
1439588775,-1845,-342,405,117,33,-147
1439608764,-1741,-417,345,135,-38,-254
1439628753,-1800,-488,355,105,118,-388
1439648742,-1947,-548,503,131,269,-435
1439668731,-2107,-653,436,184,181,-411
